"filename", "language", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"d:\JS\light-store\src\app\modules\admins\components\admin-header\admin-header.component.ts", "TypeScript", -1, 0, 0, 0, 0, -1
"d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.html", "HTML", 0, 14, 0, 0, 1, 15
"d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.ts", "TypeScript", 17, 0, 0, 0, 3, 20
"d:\JS\light-store\src\app\modules\customers\customers.module.ts", "TypeScript", 4, 0, 0, 0, 0, 4
"d:\JS\light-store\src\app\modules\customers\models\customer.ts", "TypeScript", -2, 0, 0, 0, 1, -1
"d:\JS\light-store\src\app\modules\customers\models\dtos\create-delivery-information-dto.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"d:\JS\light-store\src\app\modules\customers\models\dtos\create-order-dto.ts", "TypeScript", 6, 0, 0, 0, 2, 8
"d:\JS\light-store\src\app\modules\customers\models\dtos\product-in-order-dto.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"d:\JS\light-store\src\app\modules\customers\models\order-item.ts", "TypeScript", 7, 0, 0, 0, 1, 8
"d:\JS\light-store\src\app\modules\customers\pages\customer-page\customer-page.component.ts", "TypeScript", -1, 0, 0, 0, 0, -1
"d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.html", "HTML", 0, 35, 0, 0, 1, 36
"d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.ts", "TypeScript", 31, 0, 0, 0, 9, 40
"d:\JS\light-store\src\app\modules\customers\services\customer.service.ts", "TypeScript", 3, 0, 0, 0, 0, 3
"d:\JS\light-store\src\app\modules\customers\services\order.service.ts", "TypeScript", 23, 0, 0, 0, 4, 27
"d:\JS\light-store\src\app\modules\customers\tabs\personal-tab\personal-tab.component.html", "HTML", 0, 19, 0, 0, 1, 20
"d:\JS\light-store\src\app\modules\customers\tabs\personal-tab\personal-tab.component.ts", "TypeScript", 34, 0, 0, 0, 4, 38
"d:\JS\light-store\src\app\modules\employees\components\employee-header\employee-header.component.ts", "TypeScript", -1, 0, 0, 0, 0, -1
"d:\JS\light-store\src\app\modules\employees\models\employee.ts", "TypeScript", -2, 0, 0, 0, 1, -1
"d:\JS\light-store\src\app\modules\shared\components\change-password\change-password.component.html", "HTML", 0, 26, 0, 0, 4, 30
"d:\JS\light-store\src\app\modules\shared\components\change-password\change-password.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\shared\components\change-password\change-password.component.ts", "TypeScript", 61, 0, 0, 2, 10, 73
"d:\JS\light-store\src\app\modules\shared\components\header\header.component.ts", "TypeScript", -1, 0, 0, 0, 0, -1
"d:\JS\light-store\src\app\modules\shared\models\dtos\change-password-dto.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"d:\JS\light-store\src\app\modules\shared\pages\auth-page\auth-page.component.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"d:\JS\light-store\src\app\modules\shared\services\auth.service.ts", "TypeScript", 3, 0, 0, 0, 1, 4
"d:\JS\light-store\src\app\modules\shared\shared.module.ts", "TypeScript", 3, 0, 0, 0, 0, 3
"Total", "-", 199, 94, 0, 2, 50, 345
