"filename", "language", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"d:\JS\light-store\src\app\modules\admins\services\warehouse.service.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"d:\JS\light-store\src\app\modules\customers\components\modal-product-remains\modal-product-remains.component.html", "HTML", 0, 0, 15, 0, 1, 16
"d:\JS\light-store\src\app\modules\customers\components\modal-product-remains\modal-product-remains.component.scss", "SCSS", 13, 0, 0, 0, 2, 15
"d:\JS\light-store\src\app\modules\customers\components\modal-product-remains\modal-product-remains.component.ts", "TypeScript", 0, 33, 0, 0, 8, 41
"d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.html", "HTML", 0, 0, 1, 0, 0, 1
"d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.scss", "SCSS", 37, 0, 0, 0, 7, 44
"d:\JS\light-store\src\app\modules\customers\components\product-availability\product-availability.component.html", "HTML", 0, 0, 14, 0, 1, 15
"d:\JS\light-store\src\app\modules\customers\components\product-availability\product-availability.component.scss", "SCSS", 4, 0, 0, 0, 1, 5
"d:\JS\light-store\src\app\modules\customers\components\product-availability\product-availability.component.ts", "TypeScript", 0, 13, 0, 0, 3, 16
"d:\JS\light-store\src\app\modules\customers\components\product-card\product-card.component.html", "HTML", 0, 0, 12, 0, 0, 12
"d:\JS\light-store\src\app\modules\customers\components\product-card\product-card.component.scss", "SCSS", 4, 0, 0, 0, 1, 5
"d:\JS\light-store\src\app\modules\customers\components\product-card\product-card.component.ts", "TypeScript", 0, 8, 0, 0, 2, 10
"d:\JS\light-store\src\app\modules\customers\customers-routing.module.ts", "TypeScript", 0, 2, 0, 0, 0, 2
"d:\JS\light-store\src\app\modules\customers\customers.module.ts", "TypeScript", 0, 4, 0, 0, 0, 4
"d:\JS\light-store\src\app\modules\customers\models\dtos\create-order-dto.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"d:\JS\light-store\src\app\modules\customers\models\order-item.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"d:\JS\light-store\src\app\modules\customers\pages\cart-page\cart-page.component.ts", "TypeScript", 0, 7, 0, 0, 1, 8
"d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.html", "HTML", 0, 0, 2, 0, 0, 2
"d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.scss", "SCSS", 66, 0, 0, 0, 7, 73
"d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.ts", "TypeScript", 0, 35, 0, 0, 3, 38
"d:\JS\light-store\src\app\modules\customers\pages\product-details-page\product-details-page.component.html", "HTML", 0, 0, 12, 0, 0, 12
"d:\JS\light-store\src\app\modules\customers\pages\product-details-page\product-details-page.component.scss", "SCSS", 3, 0, 0, 0, 1, 4
"d:\JS\light-store\src\app\modules\customers\pages\product-details-page\product-details-page.component.ts", "TypeScript", 0, 10, 0, 0, 2, 12
"d:\JS\light-store\src\app\modules\customers\pages\products-page\products-page.component.html", "HTML", 0, 0, 10, 0, 0, 10
"d:\JS\light-store\src\app\modules\customers\pages\products-page\products-page.component.scss", "SCSS", 3, 0, 0, 0, 1, 4
"d:\JS\light-store\src\app\modules\customers\pages\products-page\products-page.component.ts", "TypeScript", 0, 30, 0, 0, 6, 36
"d:\JS\light-store\src\app\modules\shared\components\modal\modal.component.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"d:\JS\light-store\src\app\modules\shared\components\products-category-card\products-category-card.component.scss", "SCSS", 1, 0, 0, 0, 0, 1
"d:\JS\light-store\src\app\modules\shared\components\products-category-selector\products-category-selector.component.html", "HTML", 0, 0, -5, 0, 0, -5
"d:\JS\light-store\src\app\modules\shared\components\products-category-selector\products-category-selector.component.scss", "SCSS", -3, 0, 0, 0, -1, -4
"d:\JS\light-store\src\app\modules\shared\components\products-category-selector\products-category-selector.component.ts", "TypeScript", 0, 6, 0, 0, 2, 8
"d:\JS\light-store\src\app\modules\shared\components\search\search.component.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"d:\JS\light-store\src\app\modules\shared\models\dtos\product-filter-args.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"d:\JS\light-store\src\app\modules\shared\models\product-details.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"d:\JS\light-store\src\app\modules\shared\models\product-in-warehouse.ts", "TypeScript", 0, 5, 0, 0, 2, 7
"d:\JS\light-store\src\app\modules\shared\models\product-item.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"d:\JS\light-store\src\app\modules\shared\models\product.ts", "TypeScript", 0, 1, 0, 0, -1, 0
"d:\JS\light-store\src\app\modules\shared\pipes\decl-by-num.pipe.ts", "TypeScript", 0, 18, 0, 0, 7, 25
"d:\JS\light-store\src\app\modules\shared\services\product-get.service.ts", "TypeScript", 0, 3, 0, 0, 0, 3
"d:\JS\light-store\src\app\modules\shared\services\product-in-warehouse.service.ts", "TypeScript", 0, 24, 0, 0, 4, 28
"d:\JS\light-store\src\app\modules\shared\services\warehouse-get.service.ts", "TypeScript", 0, 24, 0, 0, 4, 28
"d:\JS\light-store\src\app\modules\shared\services\warehouse.service.ts", "TypeScript", 0, -24, 0, 0, -4, -28
"d:\JS\light-store\src\app\modules\shared\shared.module.ts", "TypeScript", 0, 3, 0, 0, 0, 3
"d:\JS\light-store\src\styles.scss", "SCSS", 56, 0, 0, 0, 2, 58
"Total", "-", 184, 211, 61, 0, 65, 521
