"filename", "language", "SCSS", "TypeScript", "HTML", "XML", "comment", "blank", "total"
"d:\JS\light-store\src\_mixins.scss", "SCSS", 32, 0, 0, 0, 0, 5, 37
"d:\JS\light-store\src\_variables.scss", "SCSS", 4, 0, 0, 0, 0, 1, 5
"d:\JS\light-store\src\app\app-routing.module.ts", "TypeScript", 0, 41, 0, 0, 0, 6, 47
"d:\JS\light-store\src\app\app.component.html", "HTML", 0, 0, 3, 0, 0, 1, 4
"d:\JS\light-store\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\app.component.spec.ts", "TypeScript", 0, 31, 0, 0, 0, 5, 36
"d:\JS\light-store\src\app\app.component.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 11
"d:\JS\light-store\src\app\app.module.ts", "TypeScript", 0, 23, 0, 0, 0, 4, 27
"d:\JS\light-store\src\app\modules\admins\admins-routing.module.ts", "TypeScript", 0, 21, 0, 0, 0, 4, 25
"d:\JS\light-store\src\app\modules\admins\admins.module.ts", "TypeScript", 0, 35, 0, 0, 0, 4, 39
"d:\JS\light-store\src\app\modules\admins\components\admin-header\admin-header.component.html", "HTML", 0, 0, 21, 0, 0, 1, 22
"d:\JS\light-store\src\app\modules\admins\components\admin-header\admin-header.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\admins\components\admin-header\admin-header.component.ts", "TypeScript", 0, 18, 0, 0, 0, 4, 22
"d:\JS\light-store\src\app\modules\admins\components\employee-item\employee-item.component.html", "HTML", 0, 0, 5, 0, 0, 1, 6
"d:\JS\light-store\src\app\modules\admins\components\employee-item\employee-item.component.scss", "SCSS", 8, 0, 0, 0, 0, 3, 11
"d:\JS\light-store\src\app\modules\admins\components\employee-item\employee-item.component.ts", "TypeScript", 0, 14, 0, 0, 0, 3, 17
"d:\JS\light-store\src\app\modules\admins\components\warehouse-item\warehouse-item.component.html", "HTML", 0, 0, 18, 0, 0, 3, 21
"d:\JS\light-store\src\app\modules\admins\components\warehouse-item\warehouse-item.component.scss", "SCSS", 35, 0, 0, 0, 1, 8, 44
"d:\JS\light-store\src\app\modules\admins\components\warehouse-item\warehouse-item.component.ts", "TypeScript", 0, 14, 0, 0, 0, 3, 17
"d:\JS\light-store\src\app\modules\admins\guards\admin.guard.ts", "TypeScript", 0, 20, 0, 0, 0, 4, 24
"d:\JS\light-store\src\app\modules\admins\models\dto\create-employee-dto.ts", "TypeScript", 0, 8, 0, 0, 0, 1, 9
"d:\JS\light-store\src\app\modules\admins\models\dto\create-warehouse-dto.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 6
"d:\JS\light-store\src\app\modules\admins\models\dto\update-warehouse-dto.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 7
"d:\JS\light-store\src\app\modules\admins\models\employee.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"d:\JS\light-store\src\app\modules\admins\pages\admin-page\admin-page.component.html", "HTML", 0, 0, 9, 0, 0, 1, 10
"d:\JS\light-store\src\app\modules\admins\pages\admin-page\admin-page.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\admins\pages\admin-page\admin-page.component.ts", "TypeScript", 0, 12, 0, 0, 0, 2, 14
"d:\JS\light-store\src\app\modules\admins\services\employee.service.ts", "TypeScript", 0, 34, 0, 0, 0, 4, 38
"d:\JS\light-store\src\app\modules\admins\services\warehouse.service.ts", "TypeScript", 0, 52, 0, 0, 0, 8, 60
"d:\JS\light-store\src\app\modules\admins\tabs\employee-editor-tab\employee-editor-tab.component.html", "HTML", 0, 0, 54, 0, 0, 8, 62
"d:\JS\light-store\src\app\modules\admins\tabs\employee-editor-tab\employee-editor-tab.component.scss", "SCSS", 4, 0, 0, 0, 0, 1, 5
"d:\JS\light-store\src\app\modules\admins\tabs\employee-editor-tab\employee-editor-tab.component.ts", "TypeScript", 0, 98, 0, 0, 2, 8, 108
"d:\JS\light-store\src\app\modules\admins\tabs\employees-tab\employees-tab.component.html", "HTML", 0, 0, 15, 0, 0, 1, 16
"d:\JS\light-store\src\app\modules\admins\tabs\employees-tab\employees-tab.component.scss", "SCSS", 8, 0, 0, 0, 0, 3, 11
"d:\JS\light-store\src\app\modules\admins\tabs\employees-tab\employees-tab.component.ts", "TypeScript", 0, 25, 0, 0, 0, 7, 32
"d:\JS\light-store\src\app\modules\admins\tabs\warehouses-editor-tab\warehouses-editor-tab.component.html", "HTML", 0, 0, 36, 0, 0, 6, 42
"d:\JS\light-store\src\app\modules\admins\tabs\warehouses-editor-tab\warehouses-editor-tab.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\admins\tabs\warehouses-editor-tab\warehouses-editor-tab.component.ts", "TypeScript", 0, 103, 0, 0, 2, 18, 123
"d:\JS\light-store\src\app\modules\admins\tabs\warehouses-tab\warehouses-tab.component.html", "HTML", 0, 0, 12, 0, 0, 1, 13
"d:\JS\light-store\src\app\modules\admins\tabs\warehouses-tab\warehouses-tab.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\admins\tabs\warehouses-tab\warehouses-tab.component.ts", "TypeScript", 0, 32, 0, 0, 0, 7, 39
"d:\JS\light-store\src\app\modules\customers\components\cart-item\cart-item.component.html", "HTML", 0, 0, 16, 0, 0, 1, 17
"d:\JS\light-store\src\app\modules\customers\components\cart-item\cart-item.component.scss", "SCSS", 37, 0, 0, 0, 0, 8, 45
"d:\JS\light-store\src\app\modules\customers\components\cart-item\cart-item.component.ts", "TypeScript", 0, 23, 0, 0, 0, 4, 27
"d:\JS\light-store\src\app\modules\customers\components\modal-please-signup\modal-please-signup.component.html", "HTML", 0, 0, 10, 0, 0, 1, 11
"d:\JS\light-store\src\app\modules\customers\components\modal-please-signup\modal-please-signup.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\JS\light-store\src\app\modules\customers\components\modal-please-signup\modal-please-signup.component.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"d:\JS\light-store\src\app\modules\customers\components\modal-product-remains\modal-product-remains.component.html", "HTML", 0, 0, 15, 0, 0, 1, 16
"d:\JS\light-store\src\app\modules\customers\components\modal-product-remains\modal-product-remains.component.scss", "SCSS", 13, 0, 0, 0, 0, 2, 15
"d:\JS\light-store\src\app\modules\customers\components\modal-product-remains\modal-product-remains.component.ts", "TypeScript", 0, 33, 0, 0, 0, 8, 41
"d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.html", "HTML", 0, 0, 31, 0, 0, 1, 32
"d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.scss", "SCSS", 45, 0, 0, 0, 0, 10, 55
"d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.ts", "TypeScript", 0, 22, 0, 0, 0, 4, 26
"d:\JS\light-store\src\app\modules\customers\components\product-availability\product-availability.component.html", "HTML", 0, 0, 14, 0, 0, 1, 15
"d:\JS\light-store\src\app\modules\customers\components\product-availability\product-availability.component.scss", "SCSS", 4, 0, 0, 0, 0, 1, 5
"d:\JS\light-store\src\app\modules\customers\components\product-availability\product-availability.component.ts", "TypeScript", 0, 13, 0, 0, 0, 3, 16
"d:\JS\light-store\src\app\modules\customers\components\product-card\product-card.component.html", "HTML", 0, 0, 33, 0, 0, 1, 34
"d:\JS\light-store\src\app\modules\customers\components\product-card\product-card.component.scss", "SCSS", 14, 0, 0, 0, 0, 4, 18
"d:\JS\light-store\src\app\modules\customers\components\product-card\product-card.component.ts", "TypeScript", 0, 27, 0, 0, 0, 7, 34
"d:\JS\light-store\src\app\modules\customers\customers-routing.module.ts", "TypeScript", 0, 31, 0, 0, 0, 5, 36
"d:\JS\light-store\src\app\modules\customers\customers.module.ts", "TypeScript", 0, 47, 0, 0, 0, 4, 51
"d:\JS\light-store\src\app\modules\customers\guards\customer.guard.ts", "TypeScript", 0, 20, 0, 0, 0, 4, 24
