Date : 2023-05-03 23:54:52
Directory : d:\JS\light-store\src
Total : 297 files,  6536 codes, 21 comments, 1074 blanks, all 7631 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        161 |      4,030 |         17 |        753 |      4,800 |
| HTML       |         65 |      1,229 |          1 |        108 |      1,338 |
| SCSS       |         64 |      1,165 |          1 |        207 |      1,373 |
| XML        |          7 |        112 |          2 |          6 |        120 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        297 |      6,536 |         21 |      1,074 |      7,631 |
| . (Files)                                                                                                                 |          5 |        474 |          0 |         50 |        524 |
| app                                                                                                                       |        283 |      5,938 |         19 |      1,014 |      6,971 |
| app (Files)                                                                                                               |          7 |        121 |          0 |         23 |        144 |
| app\modules                                                                                                               |        273 |      5,808 |         19 |        986 |      6,813 |
| app\modules\admins                                                                                                        |         33 |        729 |          5 |        122 |        856 |
| app\modules\admins (Files)                                                                                                |          2 |         56 |          0 |          8 |         64 |
| app\modules\admins\components                                                                                             |          9 |        133 |          1 |         27 |        161 |
| app\modules\admins\components\admin-header                                                                                |          3 |         39 |          0 |          6 |         45 |
| app\modules\admins\components\employee-item                                                                               |          3 |         27 |          0 |          7 |         34 |
| app\modules\admins\components\warehouse-item                                                                              |          3 |         67 |          1 |         14 |         82 |
| app\modules\admins\guards                                                                                                 |          1 |         20 |          0 |          4 |         24 |
| app\modules\admins\models                                                                                                 |          4 |         26 |          0 |          5 |         31 |
| app\modules\admins\models (Files)                                                                                         |          1 |          7 |          0 |          2 |          9 |
| app\modules\admins\models\dto                                                                                             |          3 |         19 |          0 |          3 |         22 |
| app\modules\admins\pages                                                                                                  |          3 |         21 |          0 |          4 |         25 |
| app\modules\admins\pages\admin-page                                                                                       |          3 |         21 |          0 |          4 |         25 |
| app\modules\admins\services                                                                                               |          2 |         86 |          0 |         12 |         98 |
| app\modules\admins\tabs                                                                                                   |         12 |        387 |          4 |         62 |        453 |
| app\modules\admins\tabs\employee-editor-tab                                                                               |          3 |        156 |          2 |         17 |        175 |
| app\modules\admins\tabs\employees-tab                                                                                     |          3 |         48 |          0 |         11 |         59 |
| app\modules\admins\tabs\warehouses-editor-tab                                                                             |          3 |        139 |          2 |         25 |        166 |
| app\modules\admins\tabs\warehouses-tab                                                                                    |          3 |         44 |          0 |          9 |         53 |
| app\modules\customers                                                                                                     |         63 |      1,760 |          4 |        274 |      2,038 |
| app\modules\customers (Files)                                                                                             |          2 |         78 |          0 |          9 |         87 |
| app\modules\customers\components                                                                                          |         18 |        370 |          0 |         64 |        434 |
| app\modules\customers\components\cart-item                                                                                |          3 |         76 |          0 |         13 |         89 |
| app\modules\customers\components\modal-please-signup                                                                      |          3 |         30 |          0 |          8 |         38 |
| app\modules\customers\components\modal-product-remains                                                                    |          3 |         61 |          0 |         11 |         72 |
| app\modules\customers\components\order-item                                                                               |          3 |         98 |          0 |         15 |        113 |
| app\modules\customers\components\product-availability                                                                     |          3 |         31 |          0 |          5 |         36 |
| app\modules\customers\components\product-card                                                                             |          3 |         74 |          0 |         12 |         86 |
| app\modules\customers\guards                                                                                              |          1 |         20 |          0 |          4 |         24 |
| app\modules\customers\models                                                                                              |         11 |         66 |          0 |         17 |         83 |
| app\modules\customers\models (Files)                                                                                      |          4 |         27 |          0 |          8 |         35 |
| app\modules\customers\models\dtos                                                                                         |          7 |         39 |          0 |          9 |         48 |
| app\modules\customers\pages                                                                                               |         21 |        865 |          2 |        121 |        988 |
| app\modules\customers\pages\cart-page                                                                                     |          3 |        157 |          0 |         19 |        176 |
| app\modules\customers\pages\customer-base-layout                                                                          |          3 |         12 |          0 |          5 |         17 |
| app\modules\customers\pages\customer-page                                                                                 |          3 |         25 |          0 |          7 |         32 |
| app\modules\customers\pages\order-creating-page                                                                           |          3 |        235 |          0 |         30 |        265 |
| app\modules\customers\pages\product-details-page                                                                          |          3 |        144 |          0 |         20 |        164 |
| app\modules\customers\pages\products-page                                                                                 |          3 |        144 |          0 |         23 |        167 |
| app\modules\customers\pages\registration-page                                                                             |          3 |        148 |          2 |         17 |        167 |
| app\modules\customers\services                                                                                            |          4 |        216 |          0 |         34 |        250 |
| app\modules\customers\tabs                                                                                                |          6 |        145 |          2 |         25 |        172 |
| app\modules\customers\tabs\orders-tab                                                                                     |          3 |          9 |          0 |          5 |         14 |
